Fecha,Institución,Pacientes,Positivos,En_estudio
21/03/2020,SSJ,ND,ND,ND
21/03/2020,HCG,2,0,2
21/03/2020,ISSSTE,ND,ND,ND
21/03/2020,IMSS,ND,ND,ND
21/03/2020,Privados,ND,ND,ND
22/03/2020,SSJ,0,0,2
22/03/2020,HCG,3,0,2
22/03/2020,ISSSTE,1,1,0
22/03/2020,IMSS,ND,ND,ND
22/03/2020,Privados,ND,ND,ND
23/03/2020,SSJ,1,0,1
23/03/2020,HCG,3,0,0
23/03/2020,ISSSTE,1,1,0
23/03/2020,IMSS,ND,ND,ND
23/03/2020,Privados,ND,ND,ND
24/03/2020,SSJ,2,0,2
24/03/2020,HCG,2,0,2
24/03/2020,ISSSTE,1,1,0
24/03/2020,IMSS,ND,ND,ND
24/03/2020,Privados,ND,ND,ND
25/03/2020,SSJ,2,0,2
25/03/2020,HCG,2,0,1
25/03/2020,ISSSTE,1,1,0
25/03/2020,IMSS,ND,ND,ND
25/03/2020,Privados,ND,ND,ND
26/03/2020,SSJ,4,0,4
26/03/2020,HCG,4,0,3
26/03/2020,ISSSTE,1,1,0
26/03/2020,IMSS,ND,ND,ND
26/03/2020,Privados,ND,ND,ND
27/03/2020,SSJ,1,0,1
27/03/2020,HCG,7,0,6
27/03/2020,ISSSTE,1,1,0
27/03/2020,IMSS,ND,ND,ND
27/03/2020,Privados,2,0,1
28/03/2020,SSJ,3,0,3
28/03/2020,HCG,8,0,7
28/03/2020,ISSSTE,0,0,1
28/03/2020,IMSS,1,1,0
28/03/2020,Privados,2,0,1
29/03/2020,SSJ,6,0,6
29/03/2020,HCG,9,0,9
29/03/2020,ISSSTE,1,0,1
29/03/2020,IMSS,1,1,0
29/03/2020,Privados,3,0,3
30/03/2020,SSJ,7,0,7
30/03/2020,HCG,9,0,9
30/03/2020,ISSSTE,3,0,3
30/03/2020,IMSS,1,1,0
30/03/2020,Privados,8,1,1
31/03/2020,SSJ,8,0,8
31/03/2020,HCG,9,0,9
31/03/2020,ISSSTE,3,0,3
31/03/2020,IMSS,12,2,10
31/03/2020,Privados,10,1,5
01/04/2020,SSJ,10,0,10
01/04/2020,HCG,14,0,14
01/04/2020,ISSSTE,3,0,3
01/04/2020,IMSS,12,2,10
01/04/2020,Privados,3,2,0
02/04/2020,SSJ,7,0,7
02/04/2020,HCG,13,0,13
02/04/2020,ISSSTE,2,0,2
02/04/2020,IMSS,12,2,10
02/04/2020,Privados,28,2,2
03/04/2020,SSJ,6,0,6
03/04/2020,HCG,14,2,12
03/04/2020,ISSSTE,2,0,2
03/04/2020,IMSS,12,2,10
03/04/2020,Privados,16,2,2
04/04/2020,SSJ,12,1,11
04/04/2020,HCG,11,2,9
04/04/2020,ISSSTE,2,0,2
04/04/2020,IMSS,12,2,10
04/04/2020,Privados,3,2,1
05/04/2020,SSJ,11,1,10
05/04/2020,HCG,16,2,14
05/04/2020,ISSSTE,2,0,2
05/04/2020,IMSS,12,2,10
05/04/2020,Privados,4,1,2
06/04/2020,SSJ,15,1,14
06/04/2020,HCG,14,3,11
06/04/2020,ISSSTE,2,0,2
06/04/2020,IMSS,12,2,10
06/04/2020,Privados,5,1,4
07/04/2020,SSJ,20,3,17
07/04/2020,HCG,13,3,10
07/04/2020,ISSSTE,2,0,2
07/04/2020,IMSS,12,2,10
07/04/2020,Privados,5,1,3
08/04/2020,SSJ,27,2,25
08/04/2020,HCG,14,5,9
08/04/2020,ISSSTE,2,0,2
08/04/2020,IMSS,12,2,10
08/04/2020,Privados,5,1,3
09/04/2020,SSJ,24,1,23
09/04/2020,HCG,13,5,8
09/04/2020,ISSSTE,2,0,2
09/04/2020,IMSS,12,2,10
09/04/2020,Privados,2,0,2
10/04/2020,SSJ,20,1,19
10/04/2020,HCG,16,2,14
10/04/2020,ISSSTE,2,0,2
10/04/2020,IMSS,12,2,10
10/04/2020,Privados,1,0,1
11/04/2020,SSJ,18,2,16
11/04/2020,HCG,7,2,5
11/04/2020,ISSSTE,ND,ND,ND
11/04/2020,IMSS,ND,ND,ND
11/04/2020,Privados,ND,ND,ND
12/04/2020,SSJ,14,2,12
12/04/2020,HCG,9,2,7
12/04/2020,ISSSTE,ND,ND,ND
12/04/2020,IMSS,ND,ND,ND
12/04/2020,Privados,3,1,3
13/04/2020,SSJ,12,2,10
13/04/2020,HCG,11,2,9
13/04/2020,ISSSTE,ND,ND,ND
13/04/2020,IMSS,ND,ND,ND
13/04/2020,Privados,3,1,3
14/04/2020,SSJ,11,2,9
14/04/2020,HCG,11,2,9
14/04/2020,ISSSTE,ND,ND,ND
14/04/2020,IMSS,ND,ND,ND
14/04/2020,Privados,4,1,3
15/04/2020,SSJ,11,1,10
15/04/2020,HCG,12,2,10
15/04/2020,ISSSTE,ND,ND,ND
15/04/2020,IMSS,47,7,40
15/04/2020,Privados,5,1,4
16/04/2020,SSJ,6,1,5
16/04/2020,HCG,10,2,8
16/04/2020,ISSSTE,ND,ND,ND
16/04/2020,IMSS,50,10,40
16/04/2020,Privados,6,1,4
17/04/2020,SSJ,8,1,7
17/04/2020,HCG,8,3,5
17/04/2020,ISSSTE,ND,ND,ND
17/04/2020,IMSS,45,6,39
17/04/2020,Privados,10,1,1
18/04/2020,SSJ,12,1,11
18/04/2020,HCG,7,3,4
18/04/2020,ISSSTE,ND,ND,ND
18/04/2020,IMSS,47,8,39
18/04/2020,Privados,2,0,1
19/04/2020,SSJ,14,1,13
19/04/2020,HCG,6,3,3
19/04/2020,ISSSTE,ND,ND,ND
19/04/2020,IMSS,47,8,39
19/04/2020,Privados,4,1,3
20/04/2020,SSJ,11,1,10
20/04/2020,HCG,6,2,4
20/04/2020,ISSSTE,ND,ND,ND
20/04/2020,IMSS,69,14,55
20/04/2020,Privados,2,1,1
21/04/2020,SSJ,11,2,9
21/04/2020,HCG,14,2,12
21/04/2020,ISSSTE,1,0,1
21/04/2020,IMSS,76,14,62
21/04/2020,Privados,2,1,1
22/04/2020,SSJ,15,2,13
22/04/2020,HCG,14,3,11
22/04/2020,ISSSTE,1,0,1
22/04/2020,IMSS,70,18,52
22/04/2020,Privados,2,1,3
23/04/2020,SSJ,12,2,10
23/04/2020,HCG,15,3,12
23/04/2020,ISSSTE,2,0,2
23/04/2020,IMSS,69,20,49
23/04/2020,Privados,3,0,3
24/04/2020,SSJ,10,3,7
24/04/2020,HCG,17,4,13
24/04/2020,ISSSTE,2,0,2
24/04/2020,IMSS,63,12,51
24/04/2020,Privados,1,0,1
25/04/2020,SSJ,9,3,6
25/04/2020,HCG,18,3,15
25/04/2020,ISSSTE,2,0,2
25/04/2020,IMSS,61,19,42
25/04/2020,Privados,1,0,1
26/04/2020,SSJ,13,3,10
26/04/2020,HCG,18,3,15
26/04/2020,ISSSTE,2,0,2
26/04/2020,IMSS,63,18,45
26/04/2020,Privados,4,0,4
27/04/2020,SSJ,11,3,8
27/04/2020,HCG,20,3,17
27/04/2020,ISSSTE,2,0,2
27/04/2020,IMSS,73,19,54
27/04/2020,Privados,2,0,2
28/04/2020,SSJ,14,2,12
28/04/2020,HCG,20,5,15
28/04/2020,ISSSTE,2,0,2
28/04/2020,IMSS,65,18,47
28/04/2020,Privados,5,1,1
29/04/2020,SSJ,11,0,11
29/04/2020,HCG,21,6,15
29/04/2020,ISSSTE,4,0,4
29/04/2020,IMSS,69,19,50
29/04/2020,Privados,1,1,0
30/04/2020,SSJ,10,3,7
30/04/2020,HCG,19,6,13
30/04/2020,ISSSTE,5,0,5
30/04/2020,IMSS,64,20,44
30/04/2020,Privados,ND,ND,ND
01/05/2020,SSJ,10,3,7
01/05/2020,HCG,19,5,14
01/05/2020,ISSSTE,6,0,6
01/05/2020,IMSS,64,20,44
01/05/2020,Privados,11,1,1
02/05/2020,SSJ,17,2,15
02/05/2020,HCG,16,4,12
02/05/2020,ISSSTE,4,0,4
02/05/2020,IMSS,70,20,50
02/05/2020,Privados,ND,ND,ND
03/05/2020,SSJ,18,4,14
03/05/2020,HCG,18,4,14
03/05/2020,ISSSTE,3,0,3
03/05/2020,IMSS,63,15,48
03/05/2020,Privados,1,1,4
04/05/2020,SSJ,19,3,16
04/05/2020,HCG,18,4,14
04/05/2020,ISSSTE,3,0,3
04/05/2020,IMSS,82,17,65
04/05/2020,Privados,2,1,4
05/05/2020,SSJ,21,5,16
05/05/2020,HCG,20,6,14
05/05/2020,ISSSTE,2,0,2
05/05/2020,IMSS,84,25,59
05/05/2020,Privados,4,3,6
06/05/2020,SSJ,20,6,14
06/05/2020,HCG,21,6,15
06/05/2020,ISSSTE,1,0,1
06/05/2020,IMSS,85,15,70
06/05/2020,Privados,9,9,0
07/05/2020,SSJ,18,7,11
07/05/2020,HCG,22,5,17
07/05/2020,ISSSTE,1,0,1
07/05/2020,IMSS,73,21,52
07/05/2020,Privados,11,7,3
08/05/2020,SSJ,19,9,10
08/05/2020,HCG,21,6,15
08/05/2020,ISSSTE,4,0,4
08/05/2020,IMSS,83,21,62
08/05/2020,Privados,3,2,1
09/05/2020,SSJ,19,8,11
09/05/2020,HCG,15,6,9
09/05/2020,ISSSTE,4,0,4
09/05/2020,IMSS,86,27,59
09/05/2020,Privados,2,2,1
10/05/2020,SSJ,21,7,14
10/05/2020,HCG,14,5,9
10/05/2020,ISSSTE,4,0,4
10/05/2020,IMSS,90,26,64
10/05/2020,Privados,6,1,7
11/05/2020,SSJ,22,4,18
11/05/2020,HCG,17,7,10
11/05/2020,ISSSTE,6,2,4
11/05/2020,IMSS,94,26,68
11/05/2020,Privados,12,5,7
12/05/2020,SSJ,25,5,20
12/05/2020,HCG,20,8,12
12/05/2020,ISSSTE,7,2,5
12/05/2020,IMSS,98,29,69
12/05/2020,Privados,13,6,7
13/05/2020,SSJ,24,10,14
13/05/2020,HCG,19,8,11
13/05/2020,ISSSTE,9,2,7
13/05/2020,IMSS,98,29,69
13/05/2020,Privados,13,6,7
14/05/2020,SSJ,26,17,9
14/05/2020,HCG,24,11,13
14/05/2020,ISSSTE,11,3,8
14/05/2020,IMSS,96,36,60
14/05/2020,Privados,7,7,0
15/05/2020,SSJ,27,15,12
15/05/2020,HCG,25,10,15
15/05/2020,ISSSTE,12,3,9
15/05/2020,IMSS,99,33,66
15/05/2020,Privados,8,6,2
16/05/2020,SSJ,26,12,14
16/05/2020,HCG,21,10,11
16/05/2020,ISSSTE,9,3,6
16/05/2020,IMSS,103,43,60
16/05/2020,Privados,ND,ND,ND
17/05/2020,SSJ,26,15,11
17/05/2020,HCG,29,13,16
17/05/2020,ISSSTE,6,1,5
17/05/2020,IMSS,99,26,73
17/05/2020,Privados,ND,ND,ND
18/05/2020,SSJ,28,15,13
18/05/2020,HCG,34,14,20
18/05/2020,ISSSTE,6,5,1
18/05/2020,IMSS,93,41,52
18/05/2020,Privados,8,6,2
19/05/2020,SSJ,32,13,19
19/05/2020,HCG,27,12,15
19/05/2020,ISSSTE,6,5,1
19/05/2020,IMSS,97,44,53
19/05/2020,Privados,7,6,1
20/05/2020,SSJ,36,13,23
20/05/2020,HCG,27,11,16
20/05/2020,ISSSTE,5,1,4
20/05/2020,IMSS,99,32,67
20/05/2020,Privados,8,6,2
21/05/2020,SSJ,34,15,19
21/05/2020,HCG,28,13,15
21/05/2020,ISSSTE,5,1,4
21/05/2020,IMSS,102,34,68
21/05/2020,Privados,12,9,1
22/05/2020,SSJ,34,17,17
22/05/2020,HCG,35,15,20
22/05/2020,ISSSTE,4,1,3
22/05/2020,IMSS,91,34,57
22/05/2020,Privados,13,9,4
23/05/2020,SSJ,32,17,15
23/05/2020,HCG,32,16,16
23/05/2020,ISSSTE,4,1,3
23/05/2020,IMSS,95,31,64
23/05/2020,Privados,2,1,1
24/05/2020,SSJ,30,17,13
24/05/2020,HCG,33,16,17
24/05/2020,ISSSTE,4,1,3
24/05/2020,IMSS,100,45,55
24/05/2020,Privados,4,3,1
25/05/2020,SSJ,29,16,13
25/05/2020,HCG,41,18,23
25/05/2020,ISSSTE,5,1,4
25/05/2020,IMSS,132,48,84
25/05/2020,Privados,7,4,3
26/05/2020,SSJ,27,15,12
26/05/2020,HCG,37,17,20
26/05/2020,ISSSTE,6,1,5
26/05/2020,IMSS,140,52,88
26/05/2020,Privados,19,13,6
27/05/2020,SSJ,32,17,15
27/05/2020,HCG,45,18,27
27/05/2020,ISSSTE,6,1,5
27/05/2020,IMSS,143,53,90
27/05/2020,Privados,15,13,2
28/05/2020,SSJ,33,13,20
28/05/2020,HCG,38,17,21
28/05/2020,ISSSTE,6,1,5
28/05/2020,IMSS,151,68,83
28/05/2020,Privados,17,15,2
29/05/2020,SSJ,37,13,24
29/05/2020,HCG,50,20,30
29/05/2020,ISSSTE,6,4,2
29/05/2020,IMSS,172,71,101
29/05/2020,Privados,18,16,2
30/05/2020,SSJ,37,17,20
30/05/2020,HCG,50,30,20
30/05/2020,ISSSTE,7,6,1
30/05/2020,IMSS,178,71,107
30/05/2020,Privados,17,14,3
31/05/2020,SSJ,34,19,15
31/05/2020,HCG,50,21,29
31/05/2020,ISSSTE,8,7,1
31/05/2020,IMSS,189,93,96
31/05/2020,Privados,8,5,3
01/06/2020,SSJ,40,20,20
01/06/2020,HCG,53,19,34
01/06/2020,ISSSTE,10,7,3
01/06/2020,IMSS,188,85,103
01/06/2020,Privados,16,13,3
02/06/2020,SSJ,54,20,34
02/06/2020,HCG,51,27,24
02/06/2020,ISSSTE,14,5,9
02/06/2020,IMSS,251,90,161
02/06/2020,Privados,11,6,5
03/06/2020,SSJ,62,26,36
03/06/2020,HCG,50,32,18
03/06/2020,ISSSTE,15,5,10
03/06/2020,IMSS,261,89,172
03/06/2020,Privados,27,18,9
04/06/2020,SSJ,61,27,34
04/06/2020,HCG,46,30,16
04/06/2020,ISSSTE,17,4,13
04/06/2020,IMSS,278,88,190
04/06/2020,Privados,24,20,4
05/06/2020,SSJ,70,26,44
05/06/2020,HCG,46,30,16
05/06/2020,ISSSTE,16,4,12
05/06/2020,IMSS,259,102,157
05/06/2020,Privados,9,8,1
06/06/2020,SSJ,65,27,38
06/06/2020,HCG,47,29,18
06/06/2020,ISSSTE,13,4,9
06/06/2020,IMSS,260,94,166
06/06/2020,Privados,9,7,2
07/06/2020,SSJ,65,34,31
07/06/2020,HCG,61,24,37
07/06/2020,ISSSTE,12,3,9
07/06/2020,IMSS,273,94,179
07/06/2020,Privados,10,8,2
08/06/2020,SSJ,67,35,32
08/06/2020,HCG,54,21,33
08/06/2020,ISSSTE,13,2,11
08/06/2020,IMSS,280,115,165
08/06/2020,Privados,26,19,7
09/06/2020,SSJ,69,33,36
09/06/2020,HCG,72,25,47
09/06/2020,ISSSTE,15,1,14
09/06/2020,IMSS,350,127,223
09/06/2020,Privados,31,17,14
10/06/2020,SSJ,75,34,41
10/06/2020,HCG,76,29,47
10/06/2020,ISSSTE,14,1,13
10/06/2020,IMSS,315,126,189
10/06/2020,Privados,52,34,18
11/06/2020,SSJ,69,32,37
11/06/2020,HCG,73,31,42
11/06/2020,ISSSTE,16,2,14
11/06/2020,IMSS,349,118,231
11/06/2020,Privados,31,16,15
12/06/2020,SSJ,69,23,46
12/06/2020,HCG,79,29,50
12/06/2020,ISSSTE,19,8,11
12/06/2020,IMSS,344,97,247
12/06/2020,Privados,52,27,25
13/06/2020,SSJ,72,20,52
13/06/2020,HCG,80,40,40
13/06/2020,ISSSTE,24,8,16
13/06/2020,IMSS,363,151,212
13/06/2020,Privados,53,30,23
14/06/2020,SSJ,69,21,48
14/06/2020,HCG,83,44,39
14/06/2020,ISSSTE,26,8,18
14/06/2020,IMSS,375,138,237
14/06/2020,Privados,42,30,12
15/06/2020,SSJ,71,32,39
15/06/2020,HCG,86,44,42
15/06/2020,ISSSTE,26,8,18
15/06/2020,IMSS,438,158,280
15/06/2020,Privados,82,49,33
16/06/2020,SSJ,87,37,50
16/06/2020,HCG,86,51,35
16/06/2020,ISSSTE,26,10,16
16/06/2020,IMSS,459,166,293
16/06/2020,Privados,67,38,29
17/06/2020,SSJ,90,39,51
17/06/2020,HCG,90,49,41
17/06/2020,ISSSTE,30,10,20
17/06/2020,IMSS,475,180,295
17/06/2020,Privados,66,35,31
18/06/2020,SSJ,87,34,53
18/06/2020,HCG,101,44,57
18/06/2020,ISSSTE,23,5,18
18/06/2020,IMSS,484,162,322
18/06/2020,Privados,63,33,30
19/06/2020,SSJ,85,42,47
19/06/2020,HCG,93,46,47
19/06/2020,ISSSTE,28,5,23
19/06/2020,IMSS,475,135,340
19/06/2020,Privados,80,41,39
20/06/2020,SSJ,84,45,39
20/06/2020,HCG,108,56,52
20/06/2020,ISSSTE,30,4,26
20/06/2020,IMSS,474,124,350
20/06/2020,Privados,61,27,34
21/06/2020,SSJ,98,48,50
21/06/2020,HCG,107,58,49
21/06/2020,ISSSTE,31,3,28
21/06/2020,IMSS,478,121,357
21/06/2020,Privados,44,25,19
22/06/2020,SSJ,84,39,45
22/06/2020,HCG,107,62,45
22/06/2020,ISSSTE,33,10,23
22/06/2020,IMSS,460,142,318
22/06/2020,Privados,64,36,25
23/06/2020,SSJ,86,40,46
23/06/2020,HCG,94,54,40
23/06/2020,ISSSTE,29,7,22
23/06/2020,IMSS,435,130,305
23/06/2020,Privados,63,34,29
24/06/2020,SSJ,85,41,44
24/06/2020,HCG,93,50,43
24/06/2020,ISSSTE,31,11,20
24/06/2020,IMSS,435,145,290
24/06/2020,Privados,60,44,16
25/06/2020,SSJ,92,49,43
25/06/2020,HCG,89,42,47
25/06/2020,ISSSTE,33,19,14
25/06/2020,IMSS,463,124,339
25/06/2020,Privados,55,37,18
26/06/2020,SSJ,88,48,40
26/06/2020,HCG,88,48,40
26/06/2020,ISSSTE,30,18,12
26/06/2020,IMSS,452,132,320
26/06/2020,Privados,52,36,16
27/06/2020,SSJ,102,46,56
27/06/2020,HCG,98,48,50
27/06/2020,ISSSTE,27,16,11
27/06/2020,IMSS,460,140,320
27/06/2020,Privados,ND,ND,ND
28/06/2020,SSJ,110,50,60
28/06/2020,HCG,95,45,50
28/06/2020,ISSSTE,30,15,15
28/06/2020,IMSS,471,251,220
28/06/2020,Privados,57,27,30
29/06/2020,SSJ,117,37,80
29/06/2020,HCG,93,41,52
29/06/2020,ISSSTE,29,15,14
29/06/2020,IMSS,473,174,299
29/06/2020,Privados,63,42,21
30/06/2020,SSJ,119,42,77
30/06/2020,HCG,93,53,40
30/06/2020,ISSSTE,29,18,11
30/06/2020,IMSS,463,172,291
30/06/2020,Privados,68,43,27
01/07/2020,SSJ,115,50,65
01/07/2020,HCG,91,56,35
01/07/2020,ISSSTE,31,17,14
01/07/2020,IMSS,485,171,314
01/07/2020,Privados,66,40,26
02/07/2020,SSJ,113,58,55
02/07/2020,HCG,89,58,31
02/07/2020,ISSSTE,29,19,10
02/07/2020,IMSS,455,161,294
02/07/2020,Privados,65,40,25
03/07/2020,SSJ,115,61,54
03/07/2020,HCG,95,55,40
03/07/2020,ISSSTE,30,19,11
03/07/2020,IMSS,496,192,304
03/07/2020,Privados,64,40,25
04/07/2020,SSJ,114,60,54
04/07/2020,HCG,95,55,40
04/07/2020,ISSSTE,29,15,14
04/07/2020,IMSS,495,229,266
04/07/2020,Privados,44,30,14
05/07/2020,SSJ,117,59,58
05/07/2020,HCG,96,55,41
05/07/2020,ISSSTE,31,17,14
05/07/2020,IMSS,489,195,294
05/07/2020,Privados,44,30,14
06/07/2020,SSJ,109,57,52
06/07/2020,HCG,87,48,39
06/07/2020,ISSSTE,27,17,10
06/07/2020,IMSS,501,217,284
06/07/2020,Privados,61,28,33
07/07/2020,SSJ,105,50,55
07/07/2020,HCG,95,49,46
07/07/2020,ISSSTE,32,16,16
07/07/2020,IMSS,486,221,265
07/07/2020,Privados,47,20,27
08/07/2020,SSJ,102,48,54
08/07/2020,HCG,96,50,46
08/07/2020,ISSSTE,29,14,15
08/07/2020,IMSS,499,209,290
08/07/2020,Privados,58,29,29
09/07/2020,SSJ,108,46,62
09/07/2020,HCG,94,64,30
09/07/2020,ISSSTE,29,11,18
09/07/2020,IMSS,513,229,284
09/07/2020,Privados,66,39,27
10/07/2020,SSJ,107,52,55
10/07/2020,HCG,99,60,39
10/07/2020,ISSSTE,28,15,13
10/07/2020,IMSS,523,268,255
10/07/2020,Privados,71,38,33
11/07/2020,SSJ,105,50,55
11/07/2020,HCG,97,62,35
11/07/2020,ISSSTE,23,13,10
11/07/2020,IMSS,525,212,313
11/07/2020,Privados,36,23,13
12/07/2020,SSJ,112,49,63
12/07/2020,HCG,102,60,42
12/07/2020,ISSSTE,22,13,9
12/07/2020,IMSS,549,260,289
12/07/2020,Privados,54,31,14
13/07/2020,SSJ,104,44,60
13/07/2020,HCG,105,60,45
13/07/2020,ISSSTE,20,11,9
13/07/2020,IMSS,540,228,312
13/07/2020,Privados,65,45,20
Datos sujetos a actualización.,,,,